,timestamp,Unnamed: 0,id,raw_table_id,sample_temp,sample_rh,sample_pres,pm1,pm25,pm10,lat,lon,pm1_model_id,pm25_model_id,pm10_model_id,sn,PMc
38,2021-08-02 14:00:00,9173.5,32552338.333333332,32552753.35,17.0315,61.09783333333335,0.0,1.594995,2.084173333333333,3.4620483333333327,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.6611134390613702
38,2021-08-02 14:00:00,9173.5,32552338.333333332,32552753.35,17.0315,61.09783333333335,0.0,1.594995,2.084173333333333,3.4620483333333327,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.6611134390613702
38,2021-08-02 14:00:00,9209.5,32552341.9,32552756.916666668,13.760666666666662,88.82983333333331,0.0,6.390501666666666,8.881898333333336,16.409658333333333,,,1654.0,1653.0,1652.0,MOD-PM-00102,1.8475395368745302
38,2021-08-02 14:00:00,9209.5,32552317.533333335,32552732.533333335,20.014166666666654,80.4695,0.0,1.8904066666666668,2.7426749999999998,3.768498333333333,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.3740229277378229
38,2021-08-02 14:00:00,9204.5,32552335.65,32552750.65,14.246,75.5075,0.0,2.355280000000001,3.0435916666666665,4.701685,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,1.5447817956307106
38,2021-08-02 14:00:00,9207.5,32552297.6,32552712.583333332,20.606833333333327,51.37250000000001,0.0,2.0938299999999996,2.466205,4.450114999999999,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,1.8044383982677836
38,2021-08-02 14:00:00,9168.5,32552362.55,32552777.55,16.158333333333335,75.9145,0.0,5.089851666666666,6.286535,8.41897,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.3392067331208686
38,2021-08-02 14:00:00,8759.5,32552365.6,32552780.65,36.39933333333333,14.607166666666666,0.0,2.001086666666667,2.8055866666666684,11.764944999999999,33.72000000000002,-116.18999999999986,1916.0,1915.0,1914.0,MOD-PM-00177,4.193399241513358
38,2021-08-02 14:00:00,9166.5,32552378.4,32552793.366666667,11.786999999999997,83.01749999999998,0.0,3.034568333333333,4.183075,6.982473333333331,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,1.6692202108098306
38,2021-08-02 14:00:00,9206.5,32552274.633333333,32552689.6,14.968833333333338,81.79216666666665,0.0,6.404118333333333,7.408999999999998,9.39497,64.84580000000004,-147.72727000000006,1899.0,1900.0,1901.0,MOD-PM-00170,1.268048319611284
39,2021-08-02 15:00:00,9144.5,32559506.616666667,32559921.616666667,19.042666666666673,61.40116666666666,0.0,1.6485966666666667,2.0658433333333326,3.5857533333333325,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,1.7357334292855382
